id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
2842,Poznań WCQ Regional,Poland,2025-03-16,Patryk Jagnieża,TCG,poznań-wcq-regional-2842,56,False
2843,Modena WCQ Regional,Italy,2025-03-16,Matteo Anelli,TCG,modena-wcq-regional-2843,101,False
2844,Barranquilla WCQ Regional,Colombia,2025-03-09,Leonardo Nieto Aguirre,TCG,barranquilla-wcq-regional-2844,76,False
2845,Krapina WCQ Regional,Croatia,2025-03-15,,TCG,krapina-wcq-regional-2845,49,False
2846,Rio de Janeiro WCQ Regional,Brazil,2025-03-16,Lucas Dala Paula de Oliveira Vaz,TCG,rio-de-janeiro-wcq-regional-2846,100,True
2847,Spanish Open March 2025,Spain,2025-03-22,Francisco Galvañ,TCG,spanish-open-march-2025-2847,600,True
2848,Saint-Étienne WCQ Regional,France,2025-03-23,Brice Bonneau,TCG,saint-étienne-wcq-regional-2848,128,True
2849,Fréjus WCQ Regional,France,2025-03-22,,TCG,fréjus-wcq-regional-2849,133,False
2850,Mulhouse WCQ Regional,France,2025-03-23,Ali Kocan,TCG,mulhouse-wcq-regional-2850,348,False
2851,Santiago WCQ Regional,Chile,2025-03-22,Rodrigo Cancino Bravo,TCG,santiago-wcq-regional-2851,261,False
2852,Quito WCQ Regional,Ecuador,2025-03-22,Cristopher Bernard Peñafiel Ramirez,TCG,quito-wcq-regional-2852,200,True
2853,Mérida WCQ Regional,Mexico,2025-03-22,Christopher Alvarado De la O,TCG,mérida-wcq-regional-2853,170,False
2854,Fortaleza WCQ Regional,Brazil,2025-03-23,Yuri Martins,TCG,fortaleza-wcq-regional-2854,160,True
2855,Cali WCQ Regional,Colombia,2025-03-23,Diego Cifuentes,TCG,cali-wcq-regional-2855,100,True
2856,San Salvador WCQ Regional,El Salvador,2025-03-23,Mario Menendez,TCG,san-salvador-wcq-regional-2856,153,False
2857,Montego Bay WCQ Regional,Jamaica,2025-03-23,,TCG,montego-bay-wcq-regional-2857,80,True
2858,Lima WCQ Regional,Peru,2025-03-23,Santiago Anaya,TCG,lima-wcq-regional-2858,252,False
2859,Kissimmee WCQ Regional,United States,2025-03-22,Giovanni Gonzalez,TCG,kissimmee-wcq-regional-2859,336,False
2860,Saint Peters WCQ Regional,United States,2025-03-22,Anthony Long Vang Jr,TCG,saint-peters-wcq-regional-2860,205,False
2861,Fargo WCQ Regional,United States,2025-03-22,Mart Aguila,TCG,fargo-wcq-regional-2861,100,True
2862,Philadelphia WCQ Regional,United States,2025-03-22,Michael Ehresman,TCG,philadelphia-wcq-regional-2862,700,False
2863,Dartmouth WCQ Regional,Canada,2025-03-22,Ethan Vincent,TCG,dartmouth-wcq-regional-2863,43,False
2864,The Side Deck Remote Duel WCQ Regional,United States,2025-03-23,Mert Ozbek,TCG,the-side-deck-remote-duel-wcq-regional-2864,200,True
2865,London WCQ Regional,United Kingdom,2025-03-22,Rocco Di Rienzo,TCG,london-wcq-regional-2865,120,True
2866,Sydney WCQ Regional,Australia,2025-03-23,Jon Lowbridge,TCG,sydney-wcq-regional-2866,65,False
2867,Marburg WCQ Regional,Germany,2025-03-22,Emre Kizilates,TCG,marburg-wcq-regional-2867,88,False
2868,Genova WCQ Regional,Italy,2025-03-23,Alessandro Boniolo,TCG,genova-wcq-regional-2868,155,False
2869,Worcester WCQ Regional,United Kingdom,2025-03-23,Jacob Harrison,TCG,worcester-wcq-regional-2869,50,False
2870,Newton Aycliffe WCQ Regional,United Kingdom,2025-03-23,Andrew Thwaites,TCG,newton-aycliffe-wcq-regional-2870,33,False
2872,Lisboa WCQ Regional,Portugal,2025-03-23,César Fernandes,TCG,lisboa-wcq-regional-2872,47,False
2873,Yu-Gi-Oh! Open Tournament Hong Kong AE 2025,Hong Kong,2025-03-23,Hsieh Ming Ta,OCG-AE,yu-gi-oh-open-tournament-hong-kong-ae-2025-2873,393,False
2874,China city tour 2025 Xi'an Tour,China,2025-03-22,,OCG,china-city-tour-2025-xi-an-tour-2874,494,True
2875,Chongqing Super Card March 4th Week,China,2025-03-22,,OCG,chongqing-super-card-march-4th-week-2875,48,True
2877,Ronchi dei Legionari WCQ Regional,Italy,2025-03-23,Blaz Didic,TCG,ronchi-dei-legionari-wcq-regional-2877,81,False
2878,Dutch Open Westervoort 2025,Netherlands,2025-03-30,Tolgahan Dönmez,TCG,dutch-open-westervoort-2025-2878,250,True
2881,Gray Flow Ulala Card House,China,2025-03-22,播川祥子,OCG,gray-flow-ulala-card-house-2881,50,True
2882,Italian Open Bologna 2025,Italy,2025-04-06,******281,TCG,italian-open-bologna-2025-2882,509,False
2884,Toronto WCQ Regional,Canada,2025-03-30,Lancea Slayer,TCG,toronto-wcq-regional-2884,326,False
2885,Burnaby WCQ Regional,Canada,2025-03-29,Logan J.,TCG,burnaby-wcq-regional-2885,180,True
2886,The Side Deck Remote Duel WCQ Regional,United States,2025-03-29,Raymond Gramenzi,TCG,the-side-deck-remote-duel-wcq-regional-2886,145,False
2887,Hollywood WCQ Regional,United States,2025-03-30,David Ferrer,TCG,hollywood-wcq-regional-2887,116,True
2888,Albuquerque WCQ Regional,United States,2025-03-29,Joshua Trujillo,TCG,albuquerque-wcq-regional-2888,66,False
2889,Hilo WCQ Regional,United States,2025-03-29,Grant Emerson,TCG,hilo-wcq-regional-2889,40,True
2890,Layton WCQ Regional,United States,2025-03-29,Charles David Jerrell,TCG,layton-wcq-regional-2890,180,True
2891,YCS Buenos Aires,Argentina,2025-03-29,Luca Daniel Garcia Gonzalez,TCG,ycs-buenos-aires-2891,792,False
2892,Coatzacoalcos WCQ Regional,Mexico,2025-03-30,Daniel Humberto Ramon Cabrera,TCG,coatzacoalcos-wcq-regional-2892,400,True
2893,Managua WCQ Regional,Nicaragua,2025-03-30,Eysner Garcia,TCG,managua-wcq-regional-2893,120,True
2894,Bedford WCQ Regional,United Kingdom,2025-03-30,Devin Mantle,TCG,bedford-wcq-regional-2894,68,False
2895,Terrassa WCQ Regional,Spain,2025-03-30,Nicolas Machado,TCG,terrassa-wcq-regional-2895,60,True
2896,Paris WCQ Regional,France,2025-03-29,Hakan Yozgat,TCG,paris-wcq-regional-2896,358,False
2897,Ruse WCQ Regional,Bulgaria,2025-03-29,Kostadin Kasabov,TCG,ruse-wcq-regional-2897,57,False
2898,Split WCQ Regional,Croatia,2025-03-29,,TCG,split-wcq-regional-2898,40,False
2899,Copenhagen WCQ Regional,Denmark,2025-03-29,,TCG,copenhagen-wcq-regional-2899,50,True
2900,Klagenfurt WCQ Regional,Austria,2025-03-29,Peter Mullner,TCG,klagenfurt-wcq-regional-2900,57,False
2901,Manchester WCQ Regional,United Kingdom,2025-03-29,Benji Lomax,TCG,manchester-wcq-regional-2901,120,True
2902,Löbau WCQ Regional,Germany,2025-03-29,,TCG,löbau-wcq-regional-2902,100,True
2903,Cordoba WCQ Regional,Spain,2025-03-15,Fernando Erazo,TCG,cordoba-wcq-regional-2903,80,False
2904,Yu-Gi-Oh! Area Championship 2024 Kyoto,Japan,2025-03-23,team 1,OCG,yu-gi-oh-area-championship-2024-kyoto-2904,351,True
2905,215th Next Play Cup!,Japan,2025-03-26,stevia,OCG,215th-next-play-cup-2905,35,True
2906,TND regular battle,China,2025-03-22,,OCG,tnd-regular-battle-2906,38,False
2907,Hakimi Dark Honey,China,2025-03-22,,OCG,hakimi-dark-honey-2907,33,False
2908,Cannington WCQ Regional,Australia,2025-03-30,Nathan Kosc,TCG,cannington-wcq-regional-2908,46,False
2909,Fun Card Store Tournament,China,2025-03-22,,OCG,fun-card-store-tournament-2909,48,False
2910,Dragon Road Card,China,2025-03-22,,OCG,dragon-road-card-2910,48,False
2911,Goodlettsville WCQ Regional,United States,2025-03-30,Austin Barnett,TCG,goodlettsville-wcq-regional-2911,180,True
2912,Qidian Card Store Tournament,China,2025-03-22,,OCG,qidian-card-store-tournament-2912,60,False
2913,Legendary AE Tournament,Viet Nam,2025-03-01,,OCG-AE,legendary-ae-tournament-2913,22,True
2914,GAIA Premium Store AE,Malaysia,2025-03-01,Soo Wing Soon,OCG-AE,gaia-premium-store-ae-2914,32,True
2915,Valladolid WCQ Regional,Spain,2025-03-23,Antonio Oliva,TCG,valladolid-wcq-regional-2915,100,True
2916,Las Palmas de Gran Canaria WCQ Regional,Spain,2025-03-22,Antonio Oliva,TCG,las-palmas-de-gran-canaria-wcq-regional-2916,80,True
2918,Catskill WCQ Regional,United States,2025-04-05,Yohan Dos Santos,TCG,catskill-wcq-regional-2918,300,True
