card_name,product_id,set_code,set_name,rarity,product_line
Pot of Duality,96946,PGL2-EN055,Premium Gold: Return of the Bling,Normal Spell,yugioh
"Loptr, Shadow of the Generaider Bosses",213335,ETCO-EN028,Eternity Code,Effect Monster,yugioh
Sleipnir the Runick Mane,579570,MP24-EN096,25th Anniversary Tin: Dueling Mirrors,Fusion/Effect Monster,yugioh
Nekroz of Brionac,96083,THSF-EN014,The Secret Forces,Ritual/Effect Monster,yugioh
Spellbound,514742,MP23-EN151,25th Anniversary Tin: Dueling Heroes Mega Pack,Quick-Play Spell,yugioh
Card of Demise,116962,MIL1-EN014,Millennium Pack,Normal Spell,yugioh
Geri the Runick Fangs,514776,MP23-EN251,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Fusion Monster,yugioh
"Vala, Seidhr of the Generaider Bosses",579646,MP24-EN172,25th Anniversary Tin: Dueling Mirrors,Effect Monster,yugioh
Ultimate Fusion,514649,MP23-EN027,25th Anniversary Tin: Dueling Heroes Mega Pack,Quick-Play Spell,yugioh
Archnemeses Protos,592332,RA03-EN023,Quarter Century Bonanza,Effect Monster,yugioh
Sleipnir the Runick Mane,504799,DUNE-EN035,Duelist Nexus,Effect Fusion Monster,yugioh
"Harr, Generaider Boss of Storms",213333,ETCO-EN027,Eternity Code,Effect Monster,yugioh
25th Anniversary Ultimate Kaiba Set Briefcase,530853,KC01,25th Anniversary Ultimate Kaiba Set,"",Yu-Gi-Oh
Barricadeborg Blocker,194689,RIRA-EN081,Rising Rampage,Link/Effect Monster,yugioh
Jester Confit,33132,ANPR-EN009,Ancient Prophecy,Effect Monster,yugioh
Double Cyclone,205563,SBTK-EN035,Speed Duel: Trials of the Kingdom,Quick-Play Spell,yugioh
Mimighoul Archfiend,559286,INFO-EN093,The Infinite Forbidden,Flip/Effect Monster,yugioh
Anti-Magic Arrows,99964,DPBC-EN004,Duelist Pack: Battle City,Quick-Play Spell,yugioh
One Day of Peace,129996,OP04-EN012,OTS Tournament Pack 4,Normal Spell,yugioh
Freki the Runick Fangs,514867,MP23-EN186,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Fusion Monster,yugioh
Abyss-scale of the Mizuchi,68106,LTGY-EN064,Lord of the Tachyon Galaxy,Normal Spell,yugioh
Inspector Boarder,199583,DUDE-EN031,Duel Devastator,Effect Monster,yugioh
Crystron Inclusion,658305,OP29-EN010,OTS Tournament Pack 29,Continuous Spell,yugioh
Instant Fusion,451060,MAMA-EN080,Magnificent Mavens,Normal Spell,yugioh
Pot of Duality,95863,SDHS-EN034,Structure Deck: HERO Strike,Normal Spell,yugioh
One-Time Passcode,241938,EGS1,Egyptian God Deck: Slifer the Sky Dragon,Common,Yu-Gi-Oh
QQ Enneagon,584348,ROTA-EN089,Rage of the Abyss,Effect Monster,yugioh
"Trishula, Dragon of the Ice Barrier",129655,DUSA-EN081,Duelist Saga,Synchro/Effect Monster,yugioh
Dotscaper,163999,SP18-EN011,Star Pack VRAINS,Effect Monster,yugioh
Runick Golden Droplet,514769,MP23-EN247,25th Anniversary Tin: Dueling Heroes Mega Pack,Quick-Play Spell,yugioh
Swordsoul Grandmaster - Chixiao,622095,MZTM-EN088,Maze of the Master,Synchro/Effect Monster,yugioh
Ultimate Fusion,616578,SDWD-EN021,Structure Deck: Blue-Eyes White Destiny,Quick-Play Spell,yugioh
Double Cyclone,39218,DP10-EN022,Duelist Pack 10: Yusei 3,Normal Spell,yugioh
Mimighoul Maker,559289,INFO-EN095,The Infinite Forbidden,Normal Spell,yugioh
"Trishula, Dragon of the Ice Barrier",39670,HA04-EN060,Hidden Arsenal 4,Synchro/Effect Monster,yugioh
"Emilia, Dance Priestess of the Nekroz",635910,BLMM-EN025,Battles of Legend: Monster Mayhem,Effect Monster,yugioh
Pot of Duality,69234,BP02-EN160,Battle Pack 2: War of the Giants,Normal Spell,yugioh
Instant Fusion,78031,AP02-EN020,Astral Pack 2,Normal Spell,yugioh
Hugin the Runick Wings,514773,MP23-EN249,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Fusion Monster,yugioh
Primite Fusion,639402,DUAD-EN065,Duelist's Advance,Normal Spell,yugioh
Eradicator Epidemic Virus,25794,FOTB-EN068,Force of the Breaker,Normal Trap,yugioh
Runick Dispelling,505906,OP22-EN010,OTS Tournament Pack 22,Quick-Play Spell,yugioh
Blue-Eyes Ultimate Dragon,123564,LDK2-ENK40,Legendary Decks II,Fusion Monster,yugioh
"World Legacy - ""World Crown""",197188,MP19-EN082,2019 Gold Sarcophagus Tin Mega Pack,Effect Monster,yugioh
Amano-Iwato,148317,CIBR-EN036,Circuit Break,Spirit/Effect Monster,yugioh
Card of Demise,161955,LCKC-EN029,Legendary Collection Kaiba,Normal Spell,yugioh
White Aura Monoceros,194702,RIRA-EN095,Rising Rampage,Synchro/Effect Monster,yugioh
Nekroz of Brionac,186976,DUPO-EN086,Duel Power,Ritual/Effect Monster,yugioh
Instant Fusion,107527,AP08-EN010,Astral Pack 8,Normal Spell,yugioh
Hugin the Runick Wings,282346,TAMA-EN037,Tactical Masters,Fusion/Effect Monster,yugioh
Pot of Duality,67733,SDOK-EN027,Structure Deck: Onslaught of the Fire Kings,Normal Spell,yugioh
Inspector Boarder,174828,MP18-EN193,2018 Mega-Tins Mega Pack,Effect Monster,yugioh
Double Cyclone,103939,SDSE-EN033,Structure Deck: Synchron Extreme,Normal Spell,yugioh
Dragon Gate,651548,MP25-EN148,2025 Mega-Pack,Xyz/Effect Monster,yugioh
Abyss-scale of the Mizuchi,92590,MP14-EN040,2014 Mega-Tins Mega Pack,Equip Spell,yugioh
"Trishula, Dragon of the Ice Barrier",81294,DT04-EN092,Duel Terminal 4,Synchro/Effect Monster,yugioh
Elemental HERO Avian,57942,RYMP,Ra Yellow Mega Pack,Common,Yu-Gi-Oh
Elemental HERO Burstinatrix,57943,RYMP,Ra Yellow Mega Pack,Common,Yu-Gi-Oh
Gogiga Gagagigo,23211,AST,Ancient Sanctuary,Common,Yu-Gi-Oh
Elemental HERO Necroshade,57946,RYMP,Ra Yellow Mega Pack,Common,Yu-Gi-Oh
Double Spell,21920,MFC,Magician's Force,Ultra Rare,Yu-Gi-Oh
Bystial Saronir,651692,MP25-EN293,2025 Mega-Pack,Effect Monster,yugioh
Mimighoul Maker,651637,MP25-EN238,2025 Mega-Pack,Normal Spell,yugioh
Shared Ride,115869,PGL3-EN084,Premium Gold: Infinite Gold,Normal Spell,yugioh
Pot of Duality,57124,CT08-EN008,2011 Collectors Tins,Normal Spell,yugioh
Eradicator Epidemic Virus,57110,SDGU-EN034,Structure Deck: Gates of the Underworld,Normal Trap,yugioh
Pot of Duality,129658,DUSA-EN084,Duelist Saga,Normal Spell,yugioh
Primite Dragon Nether Berzelius,639372,DUAD-EN035,Duelist's Advance,Fusion/Effect Monster,yugioh
Runick Dispelling,282336,TAMA-EN032,Tactical Masters,Quick-Play Spell,yugioh
Instant Fusion,127833,FUEN-EN042,Fusion Enforcers,Normal Spell,yugioh
Runick Smiting Storm,282340,TAMA-EN036,Tactical Masters,Quick-Play Spell,yugioh
Munin the Runick Wings,282347,TAMA-EN038,Tactical Masters,Fusion/Effect Monster,yugioh
QQ Enneagon,651833,MP25-EN434,2025 Mega-Pack,Effect Monster,yugioh
A.I. Connect,629442,ALIN-EN054,Alliance Insight,Normal Spell,yugioh
Spright Red,554934,BLTR-EN078,Battles of Legend: Terminal Revenge,Effect Monster,yugioh
Blue-Eyes Ultimate Dragon,616591,SDWD-EN034,Structure Deck: Blue-Eyes White Destiny,Fusion Monster,yugioh
Typhoon,199598,DUDE-EN046,Duel Devastator,Normal Trap,yugioh
Typhoon,115965,OP01-EN013,OTS Tournament Pack 1,Normal Trap,yugioh
Inspector Boarder,158100,EXFO-EN035,Extreme Force,Effect Monster,yugioh
Amano-Iwato,174981,MP18-EN125,2018 Mega-Tins Mega Pack,Spirit/Effect Monster,yugioh
Swordsoul of Mo Ye,451028,MAMA-EN034,Magnificent Mavens,Effect Monster,yugioh
Instant Fusion,161044,LED2-EN048,Legendary Duelists: Ancient Millennium,Normal Spell,yugioh
Double Cyclone,35799,DREV-EN046,Duelist Revolution,Quick-Play Spell,yugioh
Shared Ride,79038,LVAL-EN070,Legacy of the Valiant,Normal Spell,yugioh
Card of Demise,186940,DUPO-EN050,Duel Power,Normal Spell,yugioh
Pot of Duality,59170,BP01-EN046,Battle Pack: Epic Dawn,Normal Spell,yugioh
Barrier Statue of the Drought,25515,CDIP-EN022,Cyberdark Impact,Effect Monster,yugioh
Shared Ride,92780,MP14-EN231,2014 Mega-Tins Mega Pack,Quick-Play Spell,yugioh
Goblin Bikers Gone Bonkers,610866,SUDA-EN044,Supreme Darkness,Xyz/Effect Monster,yugioh
R.B. Next Phase,654334,DOOD-EN096,Doom of Dimensions,Counter Trap,yugioh
Archnemeses Protos,213310,ETCO-EN008,Eternity Code,Effect Monster,yugioh
Vanquish Soul Rocks,639383,DUAD-EN046,Duelist's Advance,Xyz/Effect Monster,yugioh
Blizzard,249084,MP21-EN144,2021 Tin of Ancient Battles,Quick-Play Spell,yugioh
Secure Gardna,218032,BLAR-EN086,Battles of Legend: Armageddon,Link/Effect Monster,yugioh
Eradicator Epidemic Virus,108839,SDMP-EN040,Structure Deck: Master of Pendulum,Normal Trap,yugioh
R.B. Lambda Cannon,654326,DOOD-EN090,Doom of Dimensions,Effect Monster,yugioh
Dotscaper,149306,SDCL-EN002,Structure Deck: Cyberse Link,Effect Monster,yugioh
R.B. Last Stand,654333,DOOD-EN095,Doom of Dimensions,Normal Trap,yugioh
Instant Fusion,56906,LCGX-EN095,Legendary Collection 2,Normal Spell,yugioh
Spright Red,482431,OP21-EN004,OTS Tournament Pack 21,Effect Monster,yugioh
Pot of Duality,123517,LDK2-ENY34,Legendary Decks II,Normal Spell,yugioh
Instant Fusion,25533,CDIP-EN040,Cyberdark Impact,Normal Spell,yugioh
Wind-Up Zenmaines,60264,CT09-EN008,2012 Collectors Tin,Xyz/Effect Monster,yugioh
Swordsoul Grandmaster - Chixiao,252580,BODE-EN041,Burst of Destiny,Synchro/Effect Monster,yugioh
Eradicator Epidemic Virus,497960,WISU-EN059,Wild Survivors,Normal Trap,yugioh
"Vala, Seidhr of the Generaider Bosses",480253,PHHY-EN020,Photon Hypernova,Effect Monster,yugioh
Bystial Saronir,514772,MP23-EN158,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Monster,yugioh
Barricadeborg Blocker,232924,OP15-EN006,OTS Tournament Pack 15,Link/Effect Monster,yugioh
Goblin Bikers Gone Wild,584254,ROTA-EN012,Rage of the Abyss,Effect Monster,yugioh
Synchro Zone,500396,BLMR-EN048,Battles of Legend: Monstrous Revenge,Continuous Trap,yugioh
Dinomorphia Frenzy,271768,DIFO-EN077,Dimension Force,Normal Trap,yugioh
Secure Gardna,158108,EXFO-EN043,Extreme Force,Link/Effect Monster,yugioh
Bystial Saronir,450157,DABL-EN007,Darkwing Blast,Effect Monster,yugioh
Kuji-Kiri Curse,207949,IGAS-EN066,Ignition Assault,Normal Spell,yugioh
Card Trooper,57947,RYMP,Ra Yellow Mega Pack,Common,Yu-Gi-Oh
Neo-Spacian Grand Mole,57948,RYMP,Ra Yellow Mega Pack,Super Rare,Yu-Gi-Oh
Necro Gardna,57950,RYMP,Ra Yellow Mega Pack,Secret Rare,Yu-Gi-Oh
Pot of Duality,488169,TBC1-EN007,The Pot Collection,Normal Spell,yugioh
Red-Eyes Dark Dragoon,285226,MP22-EN264,2022 Tin of the Pharaoh's Gods,Fusion/Effect Monster,yugioh
Secure Gardna,175020,MP18-EN199,2018 Mega-Tins Mega Pack,Link/Effect Monster,yugioh
Swordsoul Blackout,252622,BODE-EN073,Burst of Destiny,Normal Trap,yugioh
Freki the Runick Fangs,450232,DABL-EN041,Darkwing Blast,Effect Fusion Monster,yugioh
Warrior of Zera,23212,AST,Ancient Sanctuary,Common,Yu-Gi-Oh
Sealmaster Meisei,23213,AST,Ancient Sanctuary,Rare,Yu-Gi-Oh
DoSolfachord Coolia (Platinum Secret Rare),686806,RA05,Rarity Collection 5,Platinum Secret Rare,Yu-Gi-Oh
Kashtira Fenrir (Collector's Rare),686841,RA05,Rarity Collection 5,Collector's Rare,Yu-Gi-Oh
Despian Quaeritis (Platinum Secret Rare),686914,RA05,Rarity Collection 5,Platinum Secret Rare,Yu-Gi-Oh
El Shaddoll Construct,92378,DUEA-EN049,Duelist Alliance,Fusion/Effect Monster,yugioh
King of the Swamp,67056,LCYW-EN256,Legendary Collection 3: Yugi's World,Effect Monster,yugioh
Santa Claws,267692,STP3-EN018,Speed Duel: Tournament Pack 3,Effect Monster,yugioh
Shaddoll Beast,193670,BLHR-EN083,Battles of Legend: Hero's Revenge,Flip/Effect Monster,yugioh
Swordsoul of Taia,622087,MZTM-EN081,Maze of the Master,Effect Monster,yugioh
ZW - Pegasus Twin Saber,284976,MP22-EN057,2022 Tin of the Pharaoh's Gods,Effect Monster,yugioh
Swordsoul Blackout,451087,MAMA-EN044,Magnificent Mavens,Normal Spell,yugioh
Lunalight Black Sheep,117908,SHVI-EN011,Shining Victories,Effect Monster,yugioh
Statue of Anguish Pattern,98926,CROS-EN078,Crossed Souls,Normal Trap,yugioh
Swordsoul of Mo Ye,252536,BODE-EN003,Burst of Destiny,Effect Monster,yugioh
Ryzeal Plasma Hole,651840,MP25-EN441,2025 Mega-Pack,Normal Trap,yugioh
Dotscaper,599872,CRBR-EN025,Crossover Breakers,Effect Monster,yugioh
Spright Starter,554962,BLTR-EN104,Battles of Legend: Terminal Revenge,Quick-Play Spell,yugioh
Herald of the Abyss,528549,SR14-EN032,Structure Deck: Fire Kings,Normal Spell,yugioh
"Nidhogg, Generaider Boss of Ice",203874,MYFI-EN031,Mystic Fighters,Effect Monster,yugioh
Rank-Up-Magic Barian's Force,77332,CT10-EN015,2013 Collectors Tins,Normal Spell,yugioh
Swordsoul Grandmaster - Chixiao,451037,MAMA-EN038,Magnificent Mavens,Effect Synchro Monster,yugioh
Invoked Caliga,218025,BLAR-EN080,Battles of Legend: Armageddon,Fusion/Effect Monster,yugioh
Attack Guidance Armor,542249,KC01,25th Anniversary Ultimate Kaiba Set,Ultra Rare,Yu-Gi-Oh
Life Shaver,542250,KC01,25th Anniversary Ultimate Kaiba Set,Ultra Rare,Yu-Gi-Oh
Santa Claws,214054,SS05-ENV01,Speed Duel Decks: Twisted Nightmares,Effect Monster,yugioh
Kuji-Kiri Curse,249016,MP21-EN028,2021 Tin of Ancient Battles,Normal Spell,yugioh
Shared Ride,227505,MAGO-EN079,Maximum Gold,Quick-Play Spell,yugioh
Swordsoul of Taia,451029,MAMA-EN035,Magnificent Mavens,Effect Monster,yugioh
Ib the World Chalice Justiciar,189390,DANE-EN035,Dark Neostorm,Synchro/Tuner/Effect Monster,yugioh
Rank-Up-Magic Barian's Force,622107,MZTM-EN099,Maze of the Master,Normal Spell,yugioh
Spright Carrot,279953,POTE-EN007,Power of the Elements,Effect Monster,yugioh
Elfnote Lucina,674742,BPRO-EN010,Burst Protocol,Effect Monster,yugioh
Starving Venom Fusion Dragon,124736,INOV-EN038,Invasion: Vengeance,Fusion/Effect Monster,yugioh
Invoked Caliga,127818,FUEN-EN027,Fusion Enforcers,Fusion/Effect Monster,yugioh
Goblin Biker Grand Bash,651718,MP25-EN319,2025 Mega-Pack,Continuous Spell,yugioh
Swordsoul of Taia,252537,BODE-EN004,Burst of Destiny,Effect Monster,yugioh
Blizzard,218960,ROTD-EN063,Rise of the Duelist,Quick-Play Spell,yugioh
Jester Confit,149325,SDCL-EN020,Structure Deck: Cyberse Link,Effect Monster,yugioh
Cynet Mining,189406,DANE-EN051,Dark Neostorm,Normal Spell,yugioh
Double Cyclone,266277,SGX1-END15,Speed Duel GX: Duel Academy Box,Quick-Play Spell,yugioh
Shaddoll Fusion,105241,MP15-EN103,2015 Mega-Tins Mega Pack,Normal Spell,yugioh
Santa Claws,544986,STP7-EN023,Speed Duel: Tournament Pack 7,Effect Monster,yugioh
Shaddoll Beast,208958,SDSH-EN008,Structure Deck: Shaddoll Showdown,Flip/Effect Monster,yugioh
Merciless Scorpion of Serket,622000,MZTM-EN002,Maze of the Master,Effect Monster,yugioh
Spright Carrot,500455,BLMR-EN067,Battles of Legend: Monstrous Revenge,Effect Monster,yugioh
El Shaddoll Construct,105232,MP15-EN094,2015 Mega-Tins Mega Pack,Fusion/Effect Monster,yugioh
Ib the World Chalice Justiciar,635980,BLMM-EN089,Battles of Legend: Monster Mayhem,Synchro/Tuner/Effect Monster,yugioh
Spright Elf,280013,POTE-EN049,Power of the Elements,Link/Effect Monster,yugioh
Shaddoll Dragon,105219,MP15-EN081,2015 Mega-Tins Mega Pack,Flip/Effect Monster,yugioh
Dark End Evaporation Dragon,651612,MP25-EN212,2025 Mega-Pack,Effect Monster,yugioh
Fossil Warrior Skull Knight,269531,GFP2-EN129,Ghosts From the Past: The 2nd Haunting,Fusion/Effect Monster,yugioh
Barrier Statue of the Drought,227541,MAGO-EN115,Maximum Gold,Effect Monster,yugioh
Shaddoll Dragon,92347,DUEA-EN026,Duelist Alliance,Flip/Effect Monster,yugioh
Harpie Conductor,220645,LART-EN026,The Lost Art Promotion,Link/Effect Monster,yugioh
El Shaddoll Construct,186982,DUPO-EN090,Duel Power,Fusion/Effect Monster,yugioh
Shaddoll Beast,92349,DUEA-EN027,Duelist Alliance,Flip/Effect Monster,yugioh
Fiendsmith's Tract,559251,INFO-EN061,The Infinite Forbidden,Normal Spell,yugioh
Black Rose Dragon,33116,CT05-EN003,2008 Collectors Tin,Synchro/Effect Monster,yugioh
Shaddoll Fusion,637090,25YC-ENP09,Yu-Gi-Oh! Championship Series 2025 Prize Cards,Normal Spell,yugioh
Clockwork Knight,610874,SUDA-EN050,Supreme Darkness,Link/Effect Monster,yugioh
Elemental HERO Neos Alius,57951,RYMP,Ra Yellow Mega Pack,Secret Rare,Yu-Gi-Oh
Card Ejector,57952,RYMP,Ra Yellow Mega Pack,Common,Yu-Gi-Oh
Gallis the Star Beast,57954,RYMP,Ra Yellow Mega Pack,Common,Yu-Gi-Oh
Mystical Shine Ball,23214,AST,Ancient Sanctuary,Common,Yu-Gi-Oh
"Laevatein, Generaider Boss of Shadows",687007,RA05,Rarity Collection 5,Super Rare,Yu-Gi-Oh
"Armillyre, the Starleader Dragon (Collector's Rare)",687028,RA05,Rarity Collection 5,Collector's Rare,Yu-Gi-Oh
Metal Armored Bug,23215,AST,Ancient Sanctuary,Common,Yu-Gi-Oh
Icejade Ran Aegirine,493836,CYAC-EN010,Cyberstorm Access,Effect Tuner Monster,yugioh
Transcode Talker,170224,YS18-EN041,Starter Deck: Codebreaker,Link/Effect Monster,yugioh
Solemn Strike,145917,COTD-ENSE2,Code of the Duelist,Token,yugioh
Mermail Abysspike,67211,ABYR-EN018,Abyss Rising,Effect Monster,yugioh
Ferret Flames,122390,MP16-EN093,2016 Mega-Tins Mega Pack,Normal Trap,yugioh
"Gameciel, the Sea Turtle Kaiju",121101,OP02-EN004,OTS Tournament Pack 2,Effect Monster,yugioh
Deep Sea Diva,254432,MGED-EN130,Maximum Gold: El Dorado,Tuner/Effect Monster,yugioh
"Abyssrhine, the Atlantean Spirit",584262,ROTA-EN017,Rage of the Abyss,Effect Monster,yugioh
Icejade Ran Aegirine,554937,BLTR-EN081,Battles of Legend: Terminal Revenge,Tuner/Effect Monster,yugioh
Icejade Ran Aegirine,579551,MP24-EN077,25th Anniversary Tin: Dueling Mirrors,Tuner/Effect Monster,yugioh
Solemn Strike,122528,MP16-EN231,2016 Mega-Tins Mega Pack,Counter Trap,yugioh
Harpie's Feather Storm,524703,RA01-EN073,25th Anniversary Rarity Collection,Normal Trap,yugioh
"Gameciel, the Sea Turtle Kaiju",107725,DOCS-EN088,Dimension of Chaos,Effect Monster,yugioh
Kurikara Divincarnate,554935,BLTR-EN079,Battles of Legend: Terminal Revenge,Effect Monster,yugioh
Transcode Talker,227562,MAGO-EN136,Maximum Gold,Link/Effect Monster,yugioh
Solemn Strike,199607,DUDE-EN055,Duel Devastator,Counter Trap,yugioh
Needle Ceiling,533118,STAX-EN026,2-Player Starter Set,Normal Trap,yugioh
Solemn Strike,260781,GRCR-EN059,The Grand Creators,Counter Trap,yugioh
Magical Trick Mirror,542251,KC01,25th Anniversary Ultimate Kaiba Set,Ultra Rare,Yu-Gi-Oh
Blue-Eyes White Dragon (UR),542252,KC01,25th Anniversary Ultimate Kaiba Set,Ultra Rare,Yu-Gi-Oh
Lunalight Cat Dancer,117938,SHVI-EN046,Shining Victories,Fusion/Effect Monster,yugioh
Atlantean Dragoons,67120,SDRE-EN002,Structure Deck: Realm of the Sea Emperor,Effect Monster,yugioh
Chaos Angel,493894,CYAC-EN044,Cyberstorm Access,Effect Synchro Monster,yugioh
"Poseidra, the Storming Atlantean",610827,SUDA-EN016,Supreme Darkness,Effect Monster,yugioh
Ripple Bird,610914,SUDA-EN088,Supreme Darkness,Xyz/Effect Monster,yugioh
Solemn Strike,551395,RA02-EN079,25th Anniversary Rarity Collection II,Counter Trap,yugioh
Mermail Abysspike,626727,RA04-EN012,Quarter Century Stampede,Effect Monster,yugioh
Torrential Tribute,25308,SD2-EN025,Structure Deck: Zombie Madness,Normal Trap,yugioh
"Trishula, Dragon of the Ice Barrier",136849,BLLR-EN060,Battles of Legend: Light's Revenge,Synchro/Effect Monster,yugioh
Solemn Strike,111178,BOSH-EN079,Breakers of Shadow,Normal Trap,yugioh
Deep Sea Diva,67128,SDRE-EN010,Structure Deck: Realm of the Sea Emperor,Tuner Monster,yugioh
Crystron Sulfefnir,620260,OP27-EN016,OTS Tournament Pack 27,Effect Monster,yugioh
Hushed Psychic Minister,639351,DUAD-EN014,Duelist's Advance,Effect Monster,yugioh
Ryzeal Cross,599849,CRBR-EN009,Crossover Breakers,Field Spell,yugioh
Underworld Goddess of the Closed World,231363,BLVO-EN050,Blazing Vortex,Link/Effect Monster,yugioh
Soul of the Supreme King,524383,OP23-EN012,OTS Tournament Pack 23,Normal Trap,yugioh
Ferret Flames,102496,CORE-EN077,Clash of Rebellions,Normal Trap,yugioh
Torrential Tribute,528558,SR14-EN037,Structure Deck: Fire Kings,Normal Trap,yugioh
"World Legacy - ""World Chalice""",174877,MP18-EN049,2018 Mega-Tins Mega Pack,Effect Monster,yugioh
Scourge of the White Forest,584312,ROTA-EN056,Rage of the Abyss,Quick-Play Spell,yugioh
Witch of the White Forest,629446,ALIN-EN058,Alliance Insight,Field Spell,yugioh
Harpie's Feather Storm,183117,LED4-EN000,Legendary Duelists: Sisters of the Rose,Normal Trap,yugioh
Torrential Tribute,100019,HL04-EN006,Hobby League 4,Normal Trap,yugioh
Solemn Strike,212679,SR10-EN039,Structure Deck: Mechanized Madness,Counter Trap,yugioh
Winged Kuriboh LV9,57955,RYMP,Ra Yellow Mega Pack,Rare,Yu-Gi-Oh
The Agent of Judgment - Saturn,23216,AST,Ancient Sanctuary,Ultra Rare,Yu-Gi-Oh
Quick Launch (Collector's Rare),687070,RA05,Rarity Collection 5,Collector's Rare,Yu-Gi-Oh
Quick Launch (Ultimate Rare),687074,RA05,Rarity Collection 5,Ultimate Rare,Yu-Gi-Oh
Card Blocker,57956,RYMP,Ra Yellow Mega Pack,Common,Yu-Gi-Oh
Elemental HERO Flame Wingman,57957,RYMP,Ra Yellow Mega Pack,Rare,Yu-Gi-Oh
"Dogmatika Ecclesia, the Virtuous",249140,MP21-EN101,2021 Tin of Ancient Battles,Effect Monster,yugioh
Mannadium Prime-Heart,493893,CYAC-EN043,Cyberstorm Access,Effect Synchro Monster,yugioh
Mysterion the Dragon Crown,239494,LIOV-EN034,Lightning Overdrive,Fusion/Effect Monster,yugioh
Orcustrated Babel,178097,SOFU-EN057,Soul Fusion,Field Spell,yugioh
Branded Retribution,268024,SDAZ-EN032,Structure Deck: Albaz Strike,Counter Trap,yugioh
"Longirsu, the Orcust Orchestrator",635985,BLMM-EN094,Battles of Legend: Monster Mayhem,Link/Effect Monster,yugioh
Branded Opening,284936,MP22-EN155,2022 Tin of the Pharaoh's Gods,Quick-Play Spell,yugioh
Dogmatika Maximus,249146,MP21-EN105,2021 Tin of Ancient Battles,Effect Monster,yugioh
Blue-Eyes Ultimate Dragon,32211,GLD1-EN028,Gold Series 2008,Fusion Monster,yugioh
Pot of Duality,146991,LEDD-ENA26,Legendary Dragon Decks,Normal Spell,yugioh
Naturia Rosewhip,35724,HA02-EN041,Hidden Arsenal 2,Tuner Monster,yugioh
Elder Entity N'tss,524669,RA01-EN026,25th Anniversary Rarity Collection,Effect Fusion Monster,yugioh
"Kumongous, the Sticky String Kaiju",129992,OP04-EN008,OTS Tournament Pack 4,Effect Monster,yugioh
Instant Fusion,81295,DT04-EN093,Duel Terminal 4,Normal Spell,yugioh
Hyozanryu,542253,KC01,25th Anniversary Ultimate Kaiba Set,Ultra Rare,Yu-Gi-Oh
Judge Man,542254,KC01,25th Anniversary Ultimate Kaiba Set,Ultra Rare,Yu-Gi-Oh
Runick Golden Droplet,282339,TAMA-EN035,Tactical Masters,Quick-Play Spell,yugioh
There Can Be Only One,199605,DUDE-EN053,Duel Devastator,Continuous Trap,yugioh
Number 29: Mannequin Cat,194700,RIRA-EN093,Rising Rampage,Xyz/Effect Monster,yugioh
Orcustrated Babel,635988,BLMM-EN097,Battles of Legend: Monster Mayhem,Field Spell,yugioh
Number 29: Mannequin Cat,482436,OP21-EN009,OTS Tournament Pack 21,Effect Xyz Monster,yugioh
Aluber the Jester of Despia,285160,MP22-EN123,2022 Tin of the Pharaoh's Gods,Effect Monster,yugioh
"Guiding Quem, the Virtuous",493837,CYAC-EN011,Cyberstorm Access,Effect Tuner Monster,yugioh
Orcust Crescendo,189429,DANE-EN074,Dark Neostorm,Counter Trap,yugioh
"Galatea, the Orcust Automaton",592479,RA03-EN044,Quarter Century Bonanza,Link/Effect Monster,yugioh
"Longirsu, the Orcust Orchestrator",178006,SOFU-EN044,Soul Fusion,Link/Effect Monster,yugioh
Branded Opening,592666,RA03-EN070,Quarter Century Bonanza,Quick-Play Spell,yugioh
Branded Opening,658255,CH01-EN023,THE CHRONICLES DECK: The Fallen & The Virtuous (All-Foil Edition),Quick-Play Spell,yugioh
Spright Sprind,450239,DABL-EN048,Darkwing Blast,Effect Link Monster,yugioh
Despian Proskenion,245789,DAMA-EN035,Dawn of Majesty,Fusion/Effect Monster,yugioh
Nimble Beaver,148321,CIBR-EN040,Circuit Break,Effect Monster,yugioh
Aluber the Jester of Despia,550954,RA02-EN016,25th Anniversary Rarity Collection II,Effect Monster,yugioh
"Dogmatika Ecclesia, the Virtuous",658242,CH01-EN014,THE CHRONICLES DECK: The Fallen & The Virtuous (All-Foil Edition),Effect Monster,yugioh
Dogmatika Punishment,658275,CH01-EN039,THE CHRONICLES DECK: The Fallen & The Virtuous (All-Foil Edition),Normal Trap,yugioh
Orcustrated Babel,188934,OP10-EN012,OTS Tournament Pack 10,Field Spell,yugioh
Spright Blue,554931,BLTR-EN075,Battles of Legend: Terminal Revenge,Effect Monster,yugioh
Nimble Beaver,241992,EGO1-EN018,Egyptian God Deck: Obelisk the Tormentor,Effect Monster,yugioh
Pot of Duality,106053,HSRD-EN056,High-Speed Riders,Normal Spell,yugioh
Striker Dragon,524591,RA01-EN046,25th Anniversary Rarity Collection,Link/Effect Monster,yugioh
Runick Smiting Storm,514770,MP23-EN248,25th Anniversary Tin: Dueling Heroes Mega Pack,Quick-Play Spell,yugioh
Nimble Beaver,450443,OP20-EN006,OTS Tournament Pack 20,Effect Monster,yugioh
Borrelsword Dragon,197204,MP19-EN097,2019 Gold Sarcophagus Tin Mega Pack,Link/Effect Monster,yugioh
